Prev Close,Open,High,Low,VWAP,Volume,Turnover,Close
204.65,205,206.1,203.65,205.26,3717450,7.63E+13,205.75
205.75,205.25,206.25,202.65,204.13,6024650,1.23E+14,204.15
204.15,207.5,216.95,205.25,207.04,7473500,1.55E+14,205.7
205.7,203.75,204.4,201.05,202.47,7744000,1.57E+14,203.8
203.8,203,203,200.65,202.05,5952000,1.20E+14,202.4
202.4,202,202.15,192.3,197.57,6675550,1.32E+14,194.3
194.3,188.55,192,182.25,186.15,13880150,2.58E+14,188.7
188.7,185,189.45,183,186.24,9875700,1.84E+14,183.85
183.85,182,190.5,181.75,185.82,14625600,2.72E+14,189.6
189.6,191,192.45,186.35,188.95,13377500,2.53E+14,187.6
187.6,187.05,188,184.6,186.15,7139950,1.33E+14,185.65
185.65,185,187,184.4,185.71,7756400,1.44E+14,186
186,185,185.25,177.05,181.66,10697700,1.94E+14,178.6
178.6,174.05,176.9,171.8,174.42,13478000,2.35E+14,173.65
173.65,171.25,173.4,169.45,171.23,11586900,1.98E+14,170.6
170.6,171.15,175.75,171,173.8,12089550,2.10E+14,173.5
173.5,174.1,174.85,157,170.68,12671700,2.16E+14,166.15
166.15,164.7,165.7,158,161.39,12538400,2.02E+14,160.45
160.45,160.1,160.8,152.75,157.11,12883650,2.02E+14,153.7
153.7,153,167.25,152.05,160.64,23310600,3.74E+14,165.8
165.8,171,189,168.5,174.76,37914350,6.63E+14,180.7
180.7,179,185.75,172.25,179.43,26118950,4.69E+14,176.75
176.75,175,185,174.5,180.21,22865050,4.12E+14,183.85
183.85,188.75,206,188.75,196.45,29231000,5.74E+14,203.8
203.8,215,225.2,208.55,216.42,43646350,9.45E+14,220.75
220.75,226.05,230,197.6,218.04,44354450,9.67E+14,202.25
202.25,191.05,208,189.05,201.29,31970000,6.44E+14,206
206,208.1,227.65,206,214.12,29335550,6.28E+14,224
224,232,242,224.1,233.49,35504550,8.29E+14,237
237,231,235,219,228.02,34689050,7.91E+14,222.15
222.15,220,244.15,218.1,225.63,36382650,8.21E+14,235.5
235.5,241.5,244.95,233.85,238.52,22223700,5.30E+14,235.65
235.65,230,237.5,228,233.05,24961300,5.82E+14,231.9
231.9,228,230.25,226.05,228.1,17696100,4.04E+14,227.8
227.8,232,235.2,228.75,232.19,18502450,4.30E+14,230.1
230.1,230,230.95,215,223.7,22818950,5.10E+14,217.95
217.95,223,231,221.05,226.75,21905900,4.97E+14,229.45
229.45,229,229.5,223.2,226.29,19497250,4.41E+14,227
227,229.5,234.25,226.05,230.72,19456750,4.49E+14,227.5
227.5,228.8,230,221.05,225.17,19368600,4.36E+14,224.9
224.9,229.25,231.8,225.5,228.67,15274700,3.49E+14,226
226,224,224.8,210.5,217.19,24917100,5.41E+14,211.85
211.85,213.5,216.2,208.55,212.61,25819450,5.49E+14,213.05
213.05,214,215,208.4,211.62,24042700,5.09E+14,210.85
210.85,214.5,219.8,212.6,215.93,19417300,4.19E+14,218.35
218.35,221.4,225.25,219.25,222.37,30505050,6.78E+14,220.3
220.3,217.5,220,214.75,217.21,23093700,5.02E+14,219.15
219.15,216,220.5,215.15,217.5,22531900,4.90E+14,219.85
219.85,219.5,238,218.5,224.76,28669950,6.44E+14,231.15
231.15,225,228.25,222.25,225.74,20626200,4.66E+14,227.2
227.2,227,229.4,225.5,228.02,21336550,4.87E+14,227.15
227.15,225.95,226.65,218,223.11,22223150,4.96E+14,219.7
219.7,217.45,218,208.9,213.09,23825350,5.08E+14,209.7
209.7,209,212.8,192.5,205.35,37034500,7.60E+14,196.8
196.8,205,213.1,205,209.67,23937450,5.02E+14,210.9
210.9,206.95,206.95,198.5,202.22,24093300,4.87E+14,202.35
202.35,204.95,206.1,198.25,203.43,16322250,3.32E+14,201.15
201.15,200,204,193.5,198.47,19007600,3.77E+14,199.85
199.85,207,209.95,206.05,207.86,13468250,2.80E+14,206.95
206.95,207.5,210.7,206.8,208.9,12832000,2.68E+14,209.65
209.65,209.4,210.75,206.2,208.04,11637700,2.42E+14,206.85
206.85,207.75,209.5,206,208.27,8836850,1.84E+14,208.8
208.8,209.25,212,207.25,209.98,13118200,2.75E+14,209.35
209.35,214.05,216.4,210.6,213.3,10604950,2.26E+14,211.1
211.1,209,209.3,206.4,207.87,8634450,1.79E+14,208.6
208.6,211.25,213.2,209.9,211.45,8144200,1.72E+14,212.1
212.1,214.75,217.2,211.25,214.47,11431550,2.45E+14,212.35
212.35,215,215.95,211.4,213.37,10179050,2.17E+14,212.25
212.25,210.25,211.5,208.85,210.08,7729150,1.62E+14,210.05
210.05,210.05,217.5,209.1,213.39,12178600,2.60E+14,215.8
215.8,220,225.75,219.55,222.78,17016500,3.79E+14,221.35
221.35,222,224.75,220,222.16,13886250,3.08E+14,221.85
221.85,228,233.75,225.85,229.1,14638550,3.35E+14,231.3
231.3,238.5,245.25,236.65,240.95,24500850,5.90E+14,244
244,246,250.5,243.55,247.27,23490050,5.81E+14,245.55
245.55,248,248.5,236.5,240.99,20631250,4.97E+14,237.75
237.75,235.55,238.75,232.5,235.17,20359900,4.79E+14,236.15
236.15,247.1,258.1,246.2,250.69,19097550,4.79E+14,255.3
255.3,257,262.5,238,253.31,22143750,5.61E+14,242.3
242.3,242,247.45,236,241.52,22583350,5.45E+14,244.45
244.45,242,243.25,237.75,240.59,15034000,3.62E+14,242.45
242.45,242,250,240.5,242.88,15329500,3.72E+14,244.65
244.65,267,269.9,264.25,266.32,17689800,4.71E+14,266.05
266.05,264,267.6,260,263.31,18100300,4.77E+14,266.25
266.25,263.95,265.5,259,262.51,17620450,4.63E+14,260.2
260.2,254,255.4,244.3,250.1,21102750,5.28E+14,245.6
245.6,245.25,250.45,244.3,247.89,19587000,4.86E+14,248.6
248.6,244,253.5,241,246.06,28050450,6.90E+14,249.95
249.95,245.25,250.4,242.5,246.06,21757350,5.35E+14,243.85
243.85,238,242.65,236.55,239.41,21646350,5.18E+14,241.3
241.3,244.5,247.9,243.1,245.44,14223050,3.49E+14,246.4
246.4,246,254.9,244.75,249.28,23243250,5.79E+14,253.25
253.25,249.25,256,244.05,249.72,32748350,8.18E+14,253.8
253.8,256.75,260.5,253.55,257.67,24583100,6.33E+14,255.25
255.25,250,253,248.8,250.78,20182550,5.06E+14,250.2
250.2,247,247.4,241.6,244.56,11643300,2.85E+14,242.35
242.35,240.9,244,239.5,241.57,16289200,3.94E+14,241.5
241.5,244,245.2,242.05,243.91,11401300,2.78E+14,242.8
242.8,241.2,242.2,239.6,240.76,10521250,2.53E+14,240.8
240.8,243.1,243.8,241.8,242.83,8453750,2.05E+14,243.05
243.05,241,241,235.5,238.05,13776550,3.28E+14,235.9
